Project Title,Diagram (Text Spec),Image/Diagram,Impact,Key Technologies,Short Description
Doctor’s AI Assistant – HIPAA-Compliant Real-time LLM Workflow,"mermaid
flowchart LR
  Mic[Doctor dictation] --> STT[Speech-to-text]
  STT --> Ingest[Secure API Gateway (HIPAA)]
  Ingest --> LLMOrch[LLM Orchestrator]

  LLMOrch --> Summarizer[OPD/IPD summary generator]
  LLMOrch --> Templates[Discharge note templates]
  LLMOrch --> Validator[Compliance / PHI checks]

  Summarizer --> Docs[(Draft clinical documents)]
  Templates --> Docs
  Validator --> Docs

  Docs --> EHR[(Hospital EHR / EMR)]
",,Reduced documentation time by 70%; improved accuracy and consistency of medical records.,"AWS, HIPAA, Lambda, Langchain, OpenAi, Python","Built a medical assistant that generates OPD/IPD summaries, discharge notes, and medical documents in real time. Integrated speech-to-text, LLM summarization, and compliance-aware architecture."
Multilingual Medical ASR Pipeline,"mermaid
flowchart LR
  Mic[Clinician / user speech] --> EdgeClient[Edge streaming client]
  EdgeClient --> Ingest[Streaming gateway]
  Ingest --> NIM[NVIDIA NIM ASR]
  Ingest --> Whisper[Whisper-based ASR]
  Ingest --> Indic[AI4Bharat IndicConformer]

  NIM --> Fusion[Hypothesis fusion + scoring]
  Whisper --> Fusion
  Indic --> Fusion

  Fusion --> TextOut[Final transcript]
  TextOut --> Downstream[Medical assistant / EHR]
",Featured%20Projects/asr%201.png,Decreased inventory discrepancies by 94% and reduced out-of-stock incidents by 78% across 12 retail locations.,"AI4Bharat, AWS, Google Cloud Speech API, NVIDIA NIM, Python, Whisper","Tuned ASR models for Hindi and Gujarati using curated LJ Speech data, enabling voice-driven medical assistance for non-English speakers."
Hierarchical RAG Search Engine,"mermaid
flowchart TB
  Ingest[Book / document ingestion] --> Parser[Structure extractor (chapters, headings, pages)]
  Parser --> Chunker[Hierarchical chunking]
  Chunker --> Embedder[Custom embeddings]
  Embedder --> VecStore[pgvector + Postgres]

  Query[User / agent query] --> Retriever[Hierarchical retriever]
  Retriever --> VecStore
  VecStore --> Context[Ranked context]
  Context --> LLM[Answer generator / agent]
",Featured%20Projects/Hierarchical_RAG_Search_Engine.png,Free alternative to Unstructured.io with superior retrieval accuracy; scalable to unlimited documents.,"Custom Embeings, Docker, MongoDB, PGVector, PostgresSQL, Python","Created a book ingestion system with pgvector database allowing multi-metadata search (by author, title, page, headings, context). Integrated agentic AI for complex multi-step queries."
Internet Search + LLM Pipeline (Tavily-level),"mermaid
flowchart LR
  Query[User / LLM query] --> Search[DuckDuckGo / Web Search]
  Search --> Scraper[HTML fetch + BeautifulSoup]
  Scraper --> Cleaner[Content cleaning + de-dup]
  Cleaner --> Ranker[Custom ranking algorithms]
  Ranker --> ContextBuilder[Structured context pack]
  ContextBuilder --> LLM[LLM reasoning]
  LLM --> Answer[Final answer + citations]
",,"Delivered highly relevant, structured web data for LLM context injection; secret optimizations outperformed commercial tools.","BeautifulSoup, Custom Ranking Algorithms, Langchain, OpenAi, Python, Requests","Replicated and enhanced Tavily’s internet search + scraping pipeline for LLMs. Added proprietary ranking and formatting logic to improve search relevance.

- Unlike static RAG pipelines that rely on pre-indexed or offline datasets, this system performs on-demand searches using DuckDuckGo�s APIs and public data endpoints to fetch the latest online content � including text articles, financial updates, news, images, and videos � then processes and integrates those results into the LLM�s reasoning process."
Agentic AI Orchestration for Education Business,"mermaid
flowchart LR
  Creator[Course creator] --> Portal[Course Portal]
  Portal --> AgentHub[Agent Orchestration Layer]
  AgentHub --> GenContent[LLM: generate course copy, emails, landing pages]
  AgentHub --> Recommender[LLM: personalized recommendations]
  AgentHub --> SupportBot[Student Q&A chatbot]

  GenContent --> CMS[(Course CMS)]
  Recommender --> Analytics[(Engagement & events)]
  SupportBot --> Ticketing[(Optional human handoff)]
",,Increased course engagement by ~45%; reduced manual admin tasks.,"AI Agent, Langchain, OpenAi, Python, ReAct Agent, custom orchestration layer",Automated entire online course lifecycle — from course descriptions to recommendations to chatbot-assisted learning — using agentic workflows and memory-enabled reasoning agents.
Medical Entity & Intent Recognition,"mermaid
flowchart LR
  UserQuery --> Preprocess[Text normalization]
  Preprocess --> NER[Medical NER Model]
  Preprocess --> Intent[Intent Classifier]
  NER --> Entities[(ICD / medical entities)]
  Intent --> Routing[Downstream routing]
  Routing --> TriageBot[Virtual assistant]
  Routing --> Tools[Clinical tools / triage flows]
",,Enabled accurate patient query understanding for virtual assistants; improved diagnostic query routing.,"BERT, Google T5, HuggingFace Transformers, Python",Built entity extraction and intent classification models for medical assistance using transformer-based architectures.
Custom LLM Fine-Tuning Suite,"mermaid
flowchart LR
  User -->|Task request / data| Orchestrator
  Orchestrator -->|Selects domain model| ModelRegistry[(Fine-tuned LLMs)]
  ModelRegistry --> Trainer[Training Pipeline]
  Trainer -->|Fine-tuned weights| ModelRegistry
  Orchestrator --> InferenceAPI[Inference API]
  InferenceAPI --> VectorDB[(Eval / logs store)]
  VectorDB --> Dashboards
  Dashboards -->|Feedback loop| Trainer
",,Achieved significant accuracy improvements for niche domains; deployed in production pipelines.,"Custom Embeings, HuggingFace Transformers, PyTorch, Python, UnSloth","Fine-tuned multiple LLMs (LLaMA, Qwen, Gemma) for domain-specific tasks in healthcare, education, and research workflows."
MCP Server & Client with Reasoning Agent,"mermaid
flowchart LR
  Client[ReAct-based MCP Client] --> MCPServer[(MCP Server)]
  MCPServer --> Tools[Registered tools: APIs, DBs, web]

  Client --> Planner[Reasoning / planning loop]
  Planner -->|Call tool| Tools
  Tools -->|Tool result| Planner
  Planner --> LLMResponse[Final response]
",,Enabled plug-and-play tool orchestration for LLMs across distributed environments.,"AI Agent, Docker, MCP Server, Python, ReAct Agent","Built large-scale Model Context Protocol server with tools for web servers, APIs, and databases; created a ReAct-based MCP client for autonomous tool usage."
SAP Hanna Agentic AI for Business,"mermaid
flowchart LR
  Dev[Dev / Biz user] --> MCPServer[(Existing MCP tools)]
  MCPServer --> Converter[Conversion script]
  Converter --> ToolsJSON[OpenAI Tool schemas]

  ToolsJSON --> OpenAIToolLayer[OpenAI tools-based agent]
  OpenAIToolLayer --> SAP[ SAP HANA / business APIs ]
  Dev --> OpenAIToolLayer
",,"Built an agentic AI layer on top of SAP HANA that converts existing MCP-style tools into OpenAI Tool format, letting businesses orchestrate complex workflows over SAP data with a single AI interface.","AI Agent, MCP Server, OpenAi, Python, ReAct Agent, custom orchestration layer",This project was built using OpenAi’s tools system which is like this exactloy works and looks like the MCP server fundamentals of tools discovery but it doesent need a transport layer instead we can direct import tools in this frame work while its pretty hactic in this farme work but I have written a python script which can convert the entire mcp server into Openai tool sert
Model Context Protocol (MCP),"mermaid
flowchart LR
  Agent1[AI client / IDE] --> MCPServer1[(MCP Server A)]
  Agent1 --> MCPServer2[(MCP Server B)]
  Agent1 --> MCPServerN[(MCP Server N)]

  MCPServer1 --> DataA[(Service / DB / API A)]
  MCPServer2 --> DataB[(Service / DB / API B)]
  MCPServerN --> DataN[(Other systems)]
",,"Helped teams understand and adopt MCP as a unified ""USB-C for AI tools,"" reducing integration complexity and standardizing how AI connects to data and services.","Langchain, MCP Server, Python","- The Model Context Protocol (MCP) is an open standard / protocol designed to standardize how large language models (LLMs) or AI assistants connect to external tools, services, and data sources.
- It was introduced by Anthropic in November 2024 as a way to reduce the fragmentation and �N � M� integration problem of AI systems needing bespoke connectors for each data source or platform.
- A helpful analogy is that MCP is like a USB-C port for AI applications: just as USB-C gives a unified physical connector for many devices, MCP gives a unified software protocol so AI models can �plug into� many tools and data systems."
Google MCP Toolbox,"mermaid
flowchart LR
  Agent[LLM Agent / IDE] --> MCPServer[(Google MCP Toolbox)]
  MCPServer --> DB1[(Database 1)]
  MCPServer --> DB2[(Database 2)]
  MCPServer --> DBn[(Other DBs)]

  Agent -->|MCP tools| MCPServer
  MCPServer -->|Query results / mutations| Agent
",,"Made enterprise databases safely queryable by AI agents via MCP, turning existing data infrastructure into a secure, AI-ready control plane.","AI Agent, Langchain, MCP Server, Python, ReAct Agent","- MCP Toolbox for Databases (formerly �Gen AI Toolbox for Databases�) is an open-source MCP server built by Google.
- It allows developers to expose database functionality as MCP tools, enabling AI agents (or other MCP clients) to query, manage, or interact with enterprise data securely via the Model Context Protocol.
- In effect, it acts as a control plane / abstraction layer between your AI system (agent, IDE, client) and one or more databases."
Automatic Speech Recognition (ASR),"mermaid
flowchart TB
  Mic[User audio] --> Streamer[Streaming client]
  Streamer --> Inference[ASR inference layer]

  Inference --> Whisper
  Inference --> GCloud[Google Cloud Speech]
  Inference --> Indic[AI4Bharat IndicConformer]

  Whisper --> Selector[Model selector / ensemble]
  GCloud --> Selector
  Indic --> Selector

  Selector --> Transcript[Structured transcript]
  Transcript --> Experiments[Eval / R&D dashboard]
",Featured%20Projects/asr.png,"Provided a research-grade ASR playground that compares commercial, open-source, and Indic ASR stacks for low-latency, domain-specific speech recognition.","AI4Bharat, Google Cloud Speech API, Langchain, Python, Whisper","- Built a real-time ASR using OpenAI Whisper API with a WebSocket interface to stream audio and receive live, incremental transcriptions.
- Acknowledge Whisper is primarily a research ASR model; evaluated other, often better, options for specific needs.
- Google Cloud Speech-to-Text provides high-performance, domain-specialized ASR (including medical/healthcare models tuned for complex medical terminology).
- Investigated open-source / research toolkits and models: wav2vec (self-supervised), Kaldi (traditional, highly customizable), and Vosk (lightweight, offline-capable).
- Evaluated pretrained regional models from AI4Bharat�IndicConformer�covering 22 official Indian languages; noted for very fast inference and strong accuracy due to optimized CTC and RNN?T pipelines and a mature training regimen, with the primary limitation being support only for Indian languages/accents.
- Dataset sources considered: Mozilla Common Voice (now available via Mozilla Data Collective) and NIRANTAR (continual learning with new languages and domains on real-world speech data).
- Focus areas for the R&D: low-latency streaming via chunked processing, noise reduction and preprocessing, CTC/RNN?T inference optimization, domain-specific vocabulary handling, and trade-offs between general-purpose vs. domain/region-specific models."
LLM Standard Evaluation,"mermaid
flowchart TB
  Suites[(MMLU Pro, Multiloko, RAG needle/book)] --> Runner[Eval runner]
  Runner --> GPT5[GPT-5 Nano]
  Runner --> Gemini[Gemini 2.5 Flash]
  Runner --> Claude[Claude 4 Sonnet]

  GPT5 --> Scores[(Scores + logs)]
  Gemini --> Scores
  Claude --> Scores

  Scores --> Reporter[Report generator]
  Reporter --> Dashboard[Model comparison dashboard]
",,"Provided a consistent, apples-to-apples evaluation framework for comparing top LLMs across reasoning, multilingual ability, and retrieval-strength scenarios.","Custom Embeings, Langchain, Python","Create a standardized evaluation and reporting standard for conversational LLM usage aimed at comparing model quality across three models: GPT-5 Nano, Gemini 2.5 Flash, and Claude 4 Sonnet. The evaluation uses three test suites you supplied: MMLU Pro, Multiloko (31 languages), and a NoLima / RAG ""needle/book"" retrieval test."
Content Ritrival AI,"mermaid
flowchart TB
  MultiIn[Docs, slides, PDFs, images, URLs] --> Ingest[Unified ingestion]
  Ingest --> OCR[OCR + text extraction]
  OCR --> Chunker[Content chunker]
  Chunker --> Embedder[Embeddings]
  Embedder --> VecDB[(Vector DB)]

  Query[User / agent query] --> Retriever
  Retriever --> VecDB
  VecDB --> Results[Ranked content]
  Results --> LLM[Answer / summary]
",,"Enabled unified search across files, slides, PDFs, images, and URLs so users can reliably find and reuse knowledge from any content source.","Custom Embeings, Docker, Langchain, MongoDB, PGVector, Python","- Developed Content Retrieval AI to allow users to upload any type of document: slides, PPT, PDF, images, or even URLs pointing to online articles.
- All uploaded content is ingested into a vector database, enabling efficient storage and retrieval of high-dimensional embeddings.
- Users can perform various types of searches on the ingested content:
- Semantic search to find contextually relevant content across the entire dataset.
- Section or heading-based search to locate information in specific parts of documents.
- Book-level search to query entire documents or grouped content.
- Focused on high precision and accuracy, ensuring search results are contextually relevant and useful for end-users.
- Supports multi-modal content, including text extracted from images or scanned documents using OCR pipelines.
- Built to handle both local content and external links, allowing ingestion of web articles or resources dynamically.
- Designed for scalability and fast retrieval using vector databases and optimized embeddings.
- Planned future improvements include advanced ranking, summarization of retrieved results, and cross-document search for enhanced user experience.A"
Content Extractor Engine,"mermaid
flowchart TB
  Docs[Raw docs / PDFs] --> Loader[Document loader]
  Loader --> TOC[TOC + structure extractor]
  TOC --> Segmenter[Section / heading / paragraph segmenter]
  Segmenter --> Metadata[Metadata enricher]
  Metadata --> Output[(Structured doc partitions)]

  Output --> VecIngest[Vector DB / RAG ingestion]
",,"Turned complex, unstructured documents into clean hierarchical chunks ready for RAG, improving downstream search and retrieval accuracy.","Custom Embeings, Langchain, Python","- Developed Content Extractor Engine to extract structured information from documents, including headings, topics, and text paragraphs.
- Supports extraction from PDFs and other document types using Python libraries like pdfplumber and related PDF processing tools.
- Leverages Table of Contents (TOC) to identify and segment sections for better organization.
- Can integrate advanced document parsing models like GROBID or Mineru to extract different partitions of documents (e.g., sections, abstracts, bibliographies).
- Designed to dynamically partition documents, enabling ingestion into a vector database for downstream semantic search and content retrieval.
- Handles both simple and complex document layouts, ensuring accurate extraction of hierarchical structure (headings ? subheadings ? paragraphs).
- Focused on automation and scalability, so large document sets can be processed efficiently.
- Enables rich metadata generation for each partition, improving retrieval precision and accuracy in AI-powered search systems."
Intelligent Hierarchical Learning & Workforce Analytics Platform,"mermaid
flowchart TB
  HR[HR / Manager] --> ChatUI[Conversational UI]
  ChatUI --> MCPServer[(Org Learning MCP Server)]

  MCPServer --> OrgGraph[(Org hierarchy graph)]
  MCPServer --> LMS[(Courses, skills, badges)]
  MCPServer --> Events[(Activity + learning points)]

  OrgGraph --> Analytics[Workforce analytics]
  LMS --> Analytics
  Events --> Analytics

  Analytics --> ChatUI --> HR
",,"Gave leaders natural-language access to deep workforce and learning insights, making it easier to track skills, engagement, and learning ROI across the organization.","AI Agent, Langchain, MCP Server, Python, ReAct Agent","Built an AI-powered system that models organizational hierarchies and enables natural-language querying of employee and learning data.Integrated a custom MCP server with a React-based agent for seamless conversational data retrieval.Developed a suite of extensible MCP tools to access course details, user activity, skills, badges, learning points, and other analytics.Enabled managers and HR teams to ask questions like “Who completed Course X?” or “Show learning points for my team” without needing technical knowledge.Designed the platform to provide precise, contextual workforce insights for learning, performance, and engagement analytics."
MCP Gaurdrailed Agent,"mermaid
flowchart LR
  UserPrompt --> Agent[Guardrailed MCP Agent]
  Agent --> Policy[Guardrail rules + required params]
  Policy -->|Enforce| ToolCall[Validated MCP tool call]
  ToolCall --> MCPServer[(MCP servers)]
  MCPServer --> Results
  Results --> Agent --> Response[Safe, constrained reply]
",,"Improved safety and compliance of MCP-based agents by enforcing strict tool-usage rules and mandatory parameters, reducing misuse and error-prone actions.","AI Agent, Langchain, MCP Server, Python, ReAct Agent","- Developed an MCP Guardrailed Agent that adds a layer of guardrailing logic on top of standard MCP agent interactions.
- Works by enforcing mandatory parameters in MCP server tools, ensuring that certain inputs are always provided before a tool can be executed.
- Implements a set of rules in the client�s prompt, guiding the agent�s behavior and constraining tool usage according to predefined policies.
- Designed to prevent misuse or unintended actions by the agent when interacting with MCP tools.
- Ensures consistent, safe, and compliant tool invocation, maintaining system integrity.
- Guardrails can be applied dynamically per tool, making the agent adaptable across different MCP servers and datasets.
- Useful for enterprise environments where regulatory compliance, security, and correct parameter usage are critical."
OpenAI Custom Assistant,"mermaid
flowchart LR
  User --> AssistantUI[OpenAI Custom Assistant UI]
  AssistantUI --> RAG[Assistant RAG backend]
  RAG --> Index[(Knowledge base / files)]
  Index --> RAG
  RAG --> AssistantUI --> User
",,Showcased how to rapidly prototype RAG-style assistants using OpenAI’s Custom Assistant UI without standing up a full backend.,"AI Agent, Langchain, OpenAi, Python","- Implemented a simple RAG (Retrieval-Augmented Generation) system using the OpenAI Custom Assistant UI instead of directly integrating LLM models.
- Built an agent capable of retrieving relevant information from a knowledge source and providing context-aware responses.
- Focused on leveraging OpenAI�s Custom Assistant interface to simplify agent creation and deployment.
- The system demonstrates a lightweight RAG pipeline, integrating retrieval and response generation in a user-friendly UI.
- Designed for quick prototyping and easy experimentation with retrieval-based conversational agents."
Human-in-the-Loop,"mermaid
flowchart LR
  User --> Bot[AI assistant]
  Bot --> Monitor[Quality / risk monitor]
  Monitor -->|OK| Bot
  Monitor -->|Escalate| Human[Human agent]

  Human --> Resolution[Final resolution]
  Resolution --> Bot --> User
",Featured%20Projects/human_in_the_loop.png,"Illustrated how to blend AI automation with human review to keep conversations safe, empathetic, and high quality in real-world applications.","AI Agent, Langchain, Python","- Human-in-the-Loop (HITL) integrates human oversight into AI systems, enhancing decision-making and ensuring quality control.
- In conversational AI, HITL allows human agents to intervene when the AI encounters complex or ambiguous queries.
- This approach improves accuracy, empathy, and contextual understanding, especially in sensitive or high-stakes interactions.
- FlowHunt facilitates seamless escalation from AI to human agents, ensuring users receive personalized attention when needed.
- HITL is particularly beneficial in domains like customer support, mental health, and e-commerce, where nuanced understanding is crucial.
- Implementing HITL involves designing workflows that enable smooth transitions between AI and human agents, maintaining a coherent user experience.
- The goal is to combine the efficiency of AI with the judgment and empathy of humans, creating a balanced and effective system."
Triplet Dataset Generation,"mermaid
flowchart LR
  TaxonomyAPI[(Taxonomy API)] --> Builder[Triplet builder]
  Builder --> Dataset[(Triplet dataset: anchor, positive, negative)]
  Dataset --> Trainer[Embedding model trainer (e5-large)]
  Trainer --> EmbModel[(Fine-tuned embeddings model)]

  EmbModel --> Downstream[RAG / retrieval systems]
",,Created a high-quality triplet dataset that significantly boosts embedding model performance for semantic similarity and retrieval workloads.,"Custom Embeings, Python","- Developed a script to generate a triplet dataset in the (anchor, positive, negative) format for training embedding models.
- Targeted the intfloat/e5-large embedding model to improve its semantic understanding and response quality.
- Used data from a taxonomy-based API (from a large organization) to source structured hierarchical or categorical information.
- The script automatically constructs anchor-positive-negative triplets based on taxonomy relationships to train the model effectively.
- Purpose: Enhance embedding model performance for semantic similarity, retrieval tasks, and downstream RAG systems.
- Focused on creating a large-scale, high-quality dataset for robust embedding training.
- Trained e5-large model on these triplets to improve prediction accuracy and contextually relevant responses in downstream applications."
ReAct Agent (Reason and Act),"mermaid
flowchart LR
  UserPrompt --> Agent[ReAct Agent]
  Agent --> Planner[Reasoning + search planner]
  Planner --> Search[Web / doc search]
  Search --> Results[Ranked results + cache]
  Results --> Planner --> Agent
  Agent --> Answer[Final answer with citations]
",Featured%20Projects/ReAct.png,"Improved retrieval quality and robustness of tool-using agents through smarter query expansion, deduplication, and result filtering.","AI Agent, Langchain, Python, ReAct Agent","- Meta Prompt Engineering: Enhanced the logic for automatic query generation using advanced meta prompt techniques.
- Smart Query Expansion & Thresholding: Dynamically expands queries (e.g., adding terms like ""guide"" or ""tutorial"") only when initial search results are insufficient.
- Result Quality Filtering & Caching: Filters results based on a domain whitelist and eliminates duplicates by normalizing and caching URLs to maintain high-quality, non-redundant data.
"
MCP to Graphs,"mermaid
flowchart LR
  UserPrompt --> MCPClient
  MCPClient --> GraphTool[MCP Graph Tool]
  GraphTool --> DataSource[(Any MCP data source)]
  DataSource --> GraphTool
  GraphTool --> Renderer[Matplotlib / Seaborn backend]
  Renderer --> Image[Graph image]
  Image --> MCPClient --> UserPrompt
",,"Enabled non-technical users to generate rich, customizable data visualizations from any MCP-exposed data source using natural language, accelerating analytics and decision-making.","AI Agent, MCP Server, Python, ReAct Agent","- Developed a system where MCP tools generate graphs using libraries like Matplotlib and Seaborn.
- Tools can process any kind of data, allowing flexible visualization of structured datasets, CSVs, or JSON inputs.
- Provides full customization control over graphs, including colors, styles, chart types, and labels.
- Users can generate visualizations through natural language queries via an MCP client, without needing to write code.
- Designed for interactive and dynamic data visualization, bridging AI-assisted reasoning with real-time chart generation.
- Supports multiple chart types such as line, bar, scatter, heatmaps, and more, depending on user input.
- Enables rapid exploration and presentation of data for analytics, reporting, or AI-assisted decision-making."